,,,,oracle_1,oracle_1,oracle_3,oracle_3,simple_n,simple_n,simple_sqrt_n,simple_sqrt_n,lambda_3_plugin_1,lambda_3_plugin_1,lambda_1_plugin_2_0.5,lambda_1_plugin_2_0.5,lambda_1_plugin_2_1,lambda_1_plugin_2_1,lambda_1_plugin_3_0.5,lambda_1_plugin_3_0.5,lambda_1_plugin_3_1,lambda_1_plugin_3_1,lambda_3_plugin_2_0.5,lambda_3_plugin_2_0.5,lambda_3_plugin_2_1,lambda_3_plugin_2_1,lambda_3_plugin_3_0.5,lambda_3_plugin_3_0.5,lambda_3_plugin_3_1,lambda_3_plugin_3_1,lambda_4,lambda_4,oracle_2,oracle_2,lambda_2_plugin_2_0.5,lambda_2_plugin_2_0.5,lambda_2_plugin_2_1,lambda_2_plugin_2_1,lambda_2_plugin_3_0.5,lambda_2_plugin_3_0.5,lambda_2_plugin_3_1,lambda_2_plugin_3_1
,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
omega,p0x,px0,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.05,0.05,100,0.068840579710145,0.0,0.0012506928121355002,0.0,0.01,0.0,0.1,0.0,0.0012937710192201357,0.0005107948917911406,0.026296025084717598,0.043488132918160685,0.024383785289613852,0.05492212854948581,0.032843006995962716,0.05609520226413626,0.015476782409508037,0.03367190249649359,0.0014548536039308926,0.0005221431032997425,0.0016131580856556737,0.0005334395083408227,0.0013242902939660504,0.000510944429749731,0.001354207473108144,0.0005116273388933985,0.001313269949497462,0.0005211962612499997,0.249999985508976,0.0,0.11882285935496899,0.08013121209887018,0.07221592738118887,0.05451048349527151,0.10625238271469924,0.07364826835132833,0.057785600927089245,0.042355902326381804
1,0.05,0.05,500,0.068840579710145,0.0,0.0002512892281123,0.0,0.002,0.0,0.0447213595499958,0.0,0.0002535231204358056,4.5679659960060804e-05,0.01868812118610461,0.044671170109584185,0.02385907292595005,0.054275968631650684,0.019880770062492798,0.04676156570982603,0.0257332601814119,0.051145672886338006,0.00026004147648575246,4.589337296752677e-05,0.0002665376975574507,4.6106944432221774e-05,0.0002539932472831677,4.564509495531745e-05,0.0002544614860775538,4.562168354768162e-05,0.00025424981057535164,4.584943453042436e-05,0.249999990748721,0.0,0.07714691899455586,0.08222431745527227,0.08493435396233638,0.07760525492995006,0.07713370403310198,0.07839579295528014,0.10930727762684549,0.08436371501876011
1,0.05,0.05,1000,0.068840579710145,0.0,0.0001257169030532,0.0,0.001,0.0,0.0316227766016838,0.0,0.0001263220637442313,1.6228931948724085e-05,0.018520028741541184,0.03843323715183175,0.026709669458216442,0.0576455994782376,0.02338239193648948,0.052517839164768536,0.023591467050213907,0.05244064100468458,0.00012795369722199104,1.6267147582123997e-05,0.00012958256536247498,1.6305351075031213e-05,0.0001263624224424366,1.622247251239755e-05,0.0001264027002998718,1.6216885678640672e-05,0.00012650190826725104,1.6258886724822918e-05,0.24999999027757,0.0,0.0762286950243496,0.07954928662207635,0.07594730332740779,0.07700086415479875,0.07285984509299372,0.08120630606658882,0.07461176726706309,0.08151083887673773
1,0.05,0.05,5000,0.068840579710145,0.0,2.51549588339264e-05,0.0,0.0002,0.0,0.014142135623731,0.0,2.519817906686595e-05,1.4067547503148777e-06,0.01605615485992423,0.022290978184490343,0.0159897253224,0.022686537701287614,0.016045536996888696,0.021861754158359708,0.016045536996888696,0.021861754158359708,2.5263505827592982e-05,1.4074205266016301e-06,2.5328810477566494e-05,1.40808626219253e-06,2.519817906686595e-05,1.4067547503148777e-06,2.519817906686595e-05,1.4067547503148777e-06,2.520531457335409e-05,1.4072696664769616e-06,0.249999989969571,0.0,0.07728456502564457,0.08089234782867194,0.07697518044757883,0.08088352241233068,0.07579736095701115,0.07953948066613913,0.0751239320823421,0.07884807154058933
1,0.05,0.1,100,0.0830500242836328,0.0,0.0021264779387048,0.0,0.01,0.0,0.1,0.0,0.0021726303711932095,0.0007608622941756776,0.027094167204567497,0.04204923788918472,0.05499637633664057,0.0830254191657669,0.04303195448866897,0.06643903815992677,0.05184925572538593,0.07995844247597603,0.00235294458866241,0.0007774794572743041,0.0025303925911259835,0.0007940181421855662,0.002198908499811256,0.0007605672950308926,0.002224616700469015,0.0007608417517280905,0.002212173286918751,0.0007809228233162662,0.249999989176777,0.0,0.12988787186360584,0.08440993850221878,0.11385181059247942,0.08002646332865175,0.14072824859466362,0.08296060047871627,0.10902545942989703,0.07300149856364141
1,0.05,0.1,500,0.0830500242836328,0.0,0.0004286103710793,0.0,0.002,0.0,0.0447213595499958,0.0,0.000435473895792988,6.992054769190086e-05,0.03095568356868057,0.047887891044099615,0.028983581345864276,0.04100368847484776,0.02371757084424818,0.038832744142727055,0.023985631410135096,0.03870706023077859,0.00044283185955997314,7.024418775666905e-05,0.0004501671488116008,7.05676195377687e-05,0.00043563035199724494,6.989776204994393e-05,0.0004357861096740157,6.987853161263535e-05,0.0004369849606304933,7.026782926888046e-05,0.249999989042377,0.0,0.09377135335909216,0.08587640707990479,0.09958386573814253,0.086452545501406,0.0837340656951792,0.08400865948066048,0.08523804153899628,0.08338996021072491
1,0.05,0.1,1000,0.0830500242836328,0.0,0.0002145141778391,0.0,0.001,0.0,0.0316227766016838,0.0,0.0002151713733424429,2.407507309001206e-05,0.024482853356134954,0.03190750514686705,0.024025134637899955,0.030806289313124596,0.02354415246578437,0.0307219211194801,0.023550032390318058,0.030717837167699318,0.00021700915112717888,2.4131266140741782e-05,0.0002188441010587336,2.4187441971855223e-05,0.0002151744224285152,2.4075896523798632e-05,0.0002151774646460085,2.407677255554634e-05,0.0002155403960355978,2.4133555533525117e-05,0.249999989004186,0.0,0.09162222536927292,0.08392899922667427,0.09312922635953845,0.08352750102444413,0.08935778020736171,0.08441692061795113,0.08869683300804437,0.08394774804318407
1,0.05,0.1,5000,0.0830500242836328,0.0,4.29363330791657e-05,0.0,0.0002,0.0,0.014142135623731,0.0,4.2967683808547184e-05,2.1666220920493903e-06,0.02283725595075555,0.026141662482240185,0.022904334993677073,0.026264455775471745,0.022501471930494243,0.02565672485434228,0.022501471930494243,0.02565672485434228,4.3041297538284616e-05,2.1676406801554513e-06,4.3114888676597345e-05,2.168659208403015e-06,4.2967683808547184e-05,2.1666220920493903e-06,4.2967683808547184e-05,2.1666220920493903e-06,4.298233853847801e-05,2.1676649066251916e-06,0.249999988507529,0.0,0.09327686107511186,0.08522617612606381,0.09410919386820658,0.08602506371307364,0.09272542282510013,0.08548447877913377,0.09174171885466416,0.0847448756108521
